busstop_id,lat,lng
668,-3.820567,-38.559828
669,-3.819073,-38.55774
670,-3.821428,-38.557671
671,-3.821206,-38.557254
672,-3.823479,-38.558192
673,-3.823721,-38.558424
676,-3.82498,-38.559617
678,-3.826953,-38.561453
679,-3.826855,-38.56362
680,-3.826235,-38.563054
681,-3.825954,-38.562966
683,-3.823543,-38.562477
684,-3.824203,-38.56112
685,-3.823845,-38.561372
687,-3.822596,-38.55525
689,-3.822329,-38.554688
690,-3.821958,-38.554794
691,-3.824069,-38.555681
693,-3.824351,-38.556326
694,-3.824108,-38.556187
696,-3.824967,-38.555613
697,-3.824758,-38.554763
698,-3.824641,-38.554585
699,-3.825222,-38.553974
701,-3.826051,-38.55107
702,-3.825923,-38.550893
704,-3.82331,-38.551388
705,-3.8231,-38.551254
706,-3.714942,-38.545792
707,-3.717009,-38.54035
708,-3.716563,-38.540484
709,-3.71684,-38.541782
711,-3.717852,-38.537637
712,-3.718236,-38.537396
713,-3.718005,-38.53518
714,-3.81892,-38.49022
715,-3.818987,-38.490303
716,-3.821059,-38.490445
717,-3.8223,-38.483686
718,-3.821849,-38.483771
719,-3.826749,-38.491031
720,-3.826682,-38.490933
721,-3.827006,-38.489057
722,-3.826943,-38.488957
723,-3.823519,-38.491287
724,-3.825091,-38.491772
725,-3.825209,-38.49156
726,-3.82362,-38.489841
727,-3.824926,-38.488124
728,-3.82501,-38.488064
729,-3.825183,-38.486848
730,-3.82512,-38.486715
731,-3.825379,-38.485256
732,-3.823955,-38.487845
733,-3.823885,-38.487722
734,-3.824101,-38.486677
735,-3.824038,-38.486536
737,-3.826605,-38.481698
741,-3.822885,-38.481376
742,-3.822018,-38.481162
743,-3.821469,-38.476457
744,-3.819929,-38.475372
745,-3.818221,-38.476886
746,-3.818278,-38.474202
747,-3.823421,-38.479985
748,-3.825752,-38.479637
749,-3.826575,-38.480169
750,-3.826719,-38.474539
751,-3.82612,-38.475579
752,-3.826022,-38.475656
753,-3.825868,-38.477276
755,-3.826728,-38.472412
756,-3.826637,-38.472451
757,-3.826451,-38.473887
758,-3.720308,-38.601715
759,-3.719861,-38.603257
760,-3.72344,-38.599939
762,-3.727567,-38.602983
766,-3.718938,-38.59595
767,-3.719242,-38.595911
769,-3.721911,-38.59482
770,-3.722091,-38.594704
771,-3.721444,-38.596403
772,-3.721595,-38.596396
773,-3.719602,-38.591706
775,-3.72311,-38.590655
776,-3.72246,-38.592864
778,-3.723968,-38.597433
779,-3.724609,-38.597458
780,-3.725245,-38.596823
781,-3.726095,-38.598009
782,-3.726207,-38.597885
786,-3.723329,-38.590402
789,-3.726377,-38.59255
790,-3.722031,-38.586833
791,-3.721873,-38.586689
793,-3.72048,-38.58839
794,-3.719945,-38.587394
795,-3.719912,-38.583065
796,-3.721909,-38.581749
797,-3.721536,-38.581792
798,-3.723413,-38.586268
799,-3.72352,-38.58644
800,-3.723664,-38.586736
801,-3.723819,-38.586697
803,-3.72484,-38.58607
804,-3.725945,-38.585593
805,-3.726762,-38.585587
806,-3.726711,-38.585786
807,-3.726857,-38.579282
808,-3.726045,-38.579252
809,-3.725276,-38.579219
810,-3.724916,-38.579199
811,-3.723887,-38.579149
812,-3.723765,-38.579024
813,-3.724713,-38.58199
814,-3.724671,-38.582062
815,-3.726733,-38.582251
816,-3.722693,-38.578371
817,-3.722609,-38.578376
818,-3.722731,-38.577705
819,-3.722733,-38.577795
